n_params,GPU-PSO,GPU-CMAES,GPU-DE
2,approx_hold_final,approx_hold_final,approx_hold_final
3,approx_soft_extend,approx_hold_final,approx_soft_extend
5,approx_soft_extend,approx_hold_final,approx_soft_extend
8,approx_soft_extend,approx_soft_extend,approx_hold_final
10,approx_soft_extend,approx_soft_extend,approx_soft_extend
20,approx_soft_extend,approx_soft_extend,observed
40,observed,approx_soft_extend,observed
80,approx_hold_final,approx_hold_final,approx_hold_final
120,approx_hold_final,approx_hold_final,observed
160,approx_hold_final,approx_hold_final,approx_hold_final
210,observed,observed,observed
