seed,method,n_params,budget,best_loss,fill_kind,is_approx,confidence,run_total_evals,run_final_loss,stop_reason,approx_run,case
42,GPU-PSO,2,100,2.365596610756879,observed,False,1.0,2920,1.1020490961403087,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,2P
42,GPU-PSO,2,250,2.3092110738581177,observed,False,1.0,2920,1.1020490961403087,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,2P
42,GPU-PSO,2,500,1.453018924610952,observed,False,1.0,2920,1.1020490961403087,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,2P
42,GPU-PSO,2,750,1.168046240597665,observed,False,1.0,2920,1.1020490961403087,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,2P
42,GPU-PSO,2,1000,1.1390143195901188,observed,False,1.0,2920,1.1020490961403087,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,2P
42,GPU-PSO,2,1500,1.12165845342563,observed,False,1.0,2920,1.1020490961403087,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,2P
42,GPU-PSO,2,2000,1.116919086935588,observed,False,1.0,2920,1.1020490961403087,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,2P
42,GPU-PSO,2,3000,1.102038694806986,approx_hold_final,True,0.6,2920,1.1020490961403087,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,2P
42,GPU-PSO,2,5000,1.101778874067726,approx_hold_final,True,0.6,2920,1.1020490961403087,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,2P
42,GPU-PSO,2,7500,1.1014546723769612,approx_hold_final,True,0.6,2920,1.1020490961403087,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,2P
42,GPU-PSO,2,10000,1.1011311075533574,approx_hold_final,True,0.6,2920,1.1020490961403087,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,2P
42,GPU-PSO,2,15000,1.1004858835058007,approx_hold_final,True,0.6,2920,1.1020490961403087,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False,2P
42,GPU-PSO,3,100,2.812430021171802,observed,False,1.0,1216,0.8148500243212816,Stop L (loss target): best_loss=0.81485 < 1.0,False,3P
42,GPU-PSO,3,250,2.034769587069575,observed,False,1.0,1216,0.8148500243212816,Stop L (loss target): best_loss=0.81485 < 1.0,False,3P
42,GPU-PSO,3,500,1.8431023747062636,observed,False,1.0,1216,0.8148500243212816,Stop L (loss target): best_loss=0.81485 < 1.0,False,3P
42,GPU-PSO,3,750,1.8334855543619775,observed,False,1.0,1216,0.8148500243212816,Stop L (loss target): best_loss=0.81485 < 1.0,False,3P
42,GPU-PSO,3,1000,1.8304692425750644,observed,False,1.0,1216,0.8148500243212816,Stop L (loss target): best_loss=0.81485 < 1.0,False,3P
42,GPU-PSO,3,1500,0.7849849564469122,approx_soft_extend,True,0.45,1216,0.8148500243212816,Stop L (loss target): best_loss=0.81485 < 1.0,False,3P
42,GPU-PSO,3,2000,0.7350407623071008,approx_soft_extend,True,0.45,1216,0.8148500243212816,Stop L (loss target): best_loss=0.81485 < 1.0,False,3P
42,GPU-PSO,3,3000,0.6444832043785766,approx_soft_extend,True,0.45,1216,0.8148500243212816,Stop L (loss target): best_loss=0.81485 < 1.0,False,3P
42,GPU-PSO,3,5000,0.4954638394235818,approx_soft_extend,True,0.45,1216,0.8148500243212816,Stop L (loss target): best_loss=0.81485 < 1.0,False,3P
42,GPU-PSO,3,7500,0.4074250121606408,approx_soft_extend,True,0.45,1216,0.8148500243212816,Stop L (loss target): best_loss=0.81485 < 1.0,False,3P
42,GPU-PSO,3,10000,0.4074250121606408,approx_soft_extend,True,0.45,1216,0.8148500243212816,Stop L (loss target): best_loss=0.81485 < 1.0,False,3P
42,GPU-PSO,3,15000,0.4074250121606408,approx_soft_extend,True,0.45,1216,0.8148500243212816,Stop L (loss target): best_loss=0.81485 < 1.0,False,3P
42,GPU-PSO,5,100,5.3899306495642545,observed,False,1.0,947,0.9942677665453595,Stop L (loss target): best_loss=0.994268 < 1.0,False,5P
42,GPU-PSO,5,250,1.3055394448997162,observed,False,1.0,947,0.9942677665453595,Stop L (loss target): best_loss=0.994268 < 1.0,False,5P
42,GPU-PSO,5,500,1.181931418069845,observed,False,1.0,947,0.9942677665453595,Stop L (loss target): best_loss=0.994268 < 1.0,False,5P
42,GPU-PSO,5,750,1.181931418069845,observed,False,1.0,947,0.9942677665453595,Stop L (loss target): best_loss=0.994268 < 1.0,False,5P
42,GPU-PSO,5,1000,0.9920528319097212,approx_soft_extend,True,0.45,947,0.9942677665453595,Stop L (loss target): best_loss=0.994268 < 1.0,False,5P
42,GPU-PSO,5,1500,0.9713985540328728,approx_soft_extend,True,0.45,947,0.9942677665453595,Stop L (loss target): best_loss=0.994268 < 1.0,False,5P
42,GPU-PSO,5,2000,0.9511742927649112,approx_soft_extend,True,0.45,947,0.9942677665453595,Stop L (loss target): best_loss=0.994268 < 1.0,False,5P
42,GPU-PSO,5,3000,0.9119801951224725,approx_soft_extend,True,0.45,947,0.9942677665453595,Stop L (loss target): best_loss=0.994268 < 1.0,False,5P
42,GPU-PSO,5,5000,0.838370547962218,approx_soft_extend,True,0.45,947,0.9942677665453595,Stop L (loss target): best_loss=0.994268 < 1.0,False,5P
42,GPU-PSO,5,7500,0.754656419183767,approx_soft_extend,True,0.45,947,0.9942677665453595,Stop L (loss target): best_loss=0.994268 < 1.0,False,5P
42,GPU-PSO,5,10000,0.6793014287054019,approx_soft_extend,True,0.45,947,0.9942677665453595,Stop L (loss target): best_loss=0.994268 < 1.0,False,5P
42,GPU-PSO,5,15000,0.5504134563920726,approx_soft_extend,True,0.45,947,0.9942677665453595,Stop L (loss target): best_loss=0.994268 < 1.0,False,5P
42,GPU-PSO,8,100,18.984719630054165,observed,False,1.0,2440,0.803177347836216,Stop L (loss target): best_loss=0.803177 < 1.0,False,8P
42,GPU-PSO,8,250,4.973733144105137,observed,False,1.0,2440,0.803177347836216,Stop L (loss target): best_loss=0.803177 < 1.0,False,8P
42,GPU-PSO,8,500,3.2739683000582116,observed,False,1.0,2440,0.803177347836216,Stop L (loss target): best_loss=0.803177 < 1.0,False,8P
42,GPU-PSO,8,750,3.020385684028509,observed,False,1.0,2440,0.803177347836216,Stop L (loss target): best_loss=0.803177 < 1.0,False,8P
42,GPU-PSO,8,1000,1.5881461657525113,observed,False,1.0,2440,0.803177347836216,Stop L (loss target): best_loss=0.803177 < 1.0,False,8P
42,GPU-PSO,8,1500,1.5551089232986537,observed,False,1.0,2440,0.803177347836216,Stop L (loss target): best_loss=0.803177 < 1.0,False,8P
42,GPU-PSO,8,2000,1.4980537874595534,observed,False,1.0,2440,0.803177347836216,Stop L (loss target): best_loss=0.803177 < 1.0,False,8P
42,GPU-PSO,8,3000,0.7780033049178853,approx_soft_extend,True,0.45,2440,0.803177347836216,Stop L (loss target): best_loss=0.803177 < 1.0,False,8P
42,GPU-PSO,8,5000,0.6943661648260226,approx_soft_extend,True,0.45,2440,0.803177347836216,Stop L (loss target): best_loss=0.803177 < 1.0,False,8P
42,GPU-PSO,8,7500,0.6023479489986946,approx_soft_extend,True,0.45,2440,0.803177347836216,Stop L (loss target): best_loss=0.803177 < 1.0,False,8P
42,GPU-PSO,8,10000,0.5225240946955435,approx_soft_extend,True,0.45,2440,0.803177347836216,Stop L (loss target): best_loss=0.803177 < 1.0,False,8P
42,GPU-PSO,8,15000,0.401588673918108,approx_soft_extend,True,0.45,2440,0.803177347836216,Stop L (loss target): best_loss=0.803177 < 1.0,False,8P
42,GPU-PSO,10,100,12.017282685670205,observed,False,1.0,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,250,3.712123426376834,observed,False,1.0,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,500,1.7978086981015386,observed,False,1.0,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,750,1.4184359207027786,observed,False,1.0,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,1000,1.4184359207027786,observed,False,1.0,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,1500,1.1412641767396718,observed,False,1.0,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,2000,0.9473020681727868,approx_soft_extend,True,0.45,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,3000,0.8930319100810751,approx_soft_extend,True,0.45,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,5000,0.7936407549838385,approx_soft_extend,True,0.45,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,7500,0.6848101547344472,approx_soft_extend,True,0.45,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,10000,0.5909033086852594,approx_soft_extend,True,0.45,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,10,15000,0.4856484524658772,approx_soft_extend,True,0.45,1576,0.9712969049317544,Stop L (loss target): best_loss=0.971297 < 1.0,False,10P
42,GPU-PSO,20,100,20.106427847280834,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,250,13.025165873120038,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,500,7.055687009535557,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,750,7.055687009535557,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,1000,6.30365234838799,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,1500,2.11319926929888,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,2000,1.4924250005924453,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,3000,1.3402754877240919,observed,False,1.0,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,5000,0.8874434950334305,approx_soft_extend,True,0.45,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,7500,0.8464804753916044,approx_soft_extend,True,0.45,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,10000,0.8074082454029421,approx_soft_extend,True,0.45,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
42,GPU-PSO,20,15000,0.7345910791989069,approx_soft_extend,True,0.45,3465,0.913570993843279,Stop L (loss target): best_loss=0.913571 < 1.0,False,20P
