method,n_params,frac_observed
GPU-CMAES,2,0.25
GPU-CMAES,3,0.5
GPU-CMAES,5,0.5
GPU-CMAES,8,0.33333333333333337
GPU-CMAES,10,0.16666666666666663
GPU-CMAES,20,0.5833333333333333
GPU-CMAES,40,0.6666666666666667
GPU-CMAES,80,0.5833333333333333
GPU-CMAES,120,0.5833333333333333
GPU-CMAES,160,0.5833333333333333
GPU-CMAES,210,0.8333333333333334
GPU-DE,2,0.41666666666666663
GPU-DE,3,0.25
GPU-DE,5,0.33333333333333337
GPU-DE,8,0.5833333333333333
GPU-DE,10,0.6666666666666667
GPU-DE,20,0.9166666666666666
GPU-DE,40,0.75
GPU-DE,80,0.6666666666666667
GPU-DE,120,0.75
GPU-DE,160,0.6666666666666667
GPU-DE,210,0.75
GPU-PSO,2,0.5833333333333333
GPU-PSO,3,0.41666666666666663
GPU-PSO,5,0.33333333333333337
GPU-PSO,8,0.5833333333333333
GPU-PSO,10,0.5
GPU-PSO,20,0.6666666666666667
GPU-PSO,40,0.75
GPU-PSO,80,0.5833333333333333
GPU-PSO,120,0.6666666666666667
GPU-PSO,160,0.6666666666666667
GPU-PSO,210,0.75
