method,n_params,case,seed,is_approx_run,final_loss,total_evals,time_s,n_iterations,converged,stop_reason,source_json
GPU-CMAES,2,2P,42,False,2.2909657786013624,610,3263.810451745987,61,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),Fixed-budget/from_table/_stage/GPU-CMAES/2P/gpu_cmaes_iterations_2params.json
GPU-DE,2,2P,42,False,1.1440481762578483,1080,5653.513517141342,108,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),Fixed-budget/from_table/_stage/GPU-DE/2P/gpu_de_iterations_2params.json
GPU-PSO,2,2P,42,False,1.1020490961403087,2920,15309.106984376907,292,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),Fixed-budget/from_table/_stage/GPU-PSO/2P/gpu_pso_iterations_2params.json
GPU-CMAES,3,3P,42,False,1.7918068363236868,1920,8094.593055963516,128,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),Fixed-budget/from_table/_stage/GPU-CMAES/3P/gpu_cmaes_iterations_3params.json
GPU-DE,3,3P,42,False,0.771240688937894,525,2420.101258993149,35,True,Stop L (loss target): best_loss=0.771241 < 1.0,Fixed-budget/from_table/_stage/GPU-DE/3P/gpu_de_iterations_3params.json
GPU-PSO,3,3P,42,False,0.8148500243212816,1216,6302.902188062668,120,True,Stop L (loss target): best_loss=0.81485 < 1.0,Fixed-budget/from_table/_stage/GPU-PSO/3P/gpu_pso_iterations_3params.json
GPU-CMAES,5,5P,42,False,1.0219206924932827,1625,7420.513239860535,65,True,Stop B (long stagnation): rel_imp flat 50 iters (≥50),Fixed-budget/from_table/_stage/GPU-CMAES/5P/gpu_cmaes_iterations_5params.json
GPU-DE,5,5P,42,False,0.9562149505394042,775,3668.1949672698975,31,True,Stop L (loss target): best_loss=0.956215 < 1.0,Fixed-budget/from_table/_stage/GPU-DE/5P/gpu_de_iterations_5params.json
GPU-PSO,5,5P,42,False,0.9942677665453595,947,4185.549059152603,60,True,Stop L (loss target): best_loss=0.994268 < 1.0,Fixed-budget/from_table/_stage/GPU-PSO/5P/gpu_pso_iterations_5params.json
GPU-CMAES,8,8P,42,False,0.8950630112090692,960,4079.5138025283813,24,True,Stop L (loss target): best_loss=0.895063 < 1.0,Fixed-budget/from_table/_stage/GPU-CMAES/8P/gpu_cmaes_iterations_8params.json
