method,n_params,seed,final_loss,total_evals,case,selected,source_json,stop_reason
GPU-CMAES,2,42,2.2909657786013624,610,2P,True,Fixed-budget/from_table/_stage/GPU-CMAES/2P/gpu_cmaes_iterations_2params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-DE,2,42,1.1440481762578483,1080,2P,True,Fixed-budget/from_table/_stage/GPU-DE/2P/gpu_de_iterations_2params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,2,42,1.1020490961403087,2920,2P,True,Fixed-budget/from_table/_stage/GPU-PSO/2P/gpu_pso_iterations_2params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-CMAES,3,42,1.7918068363236868,1920,3P,True,Fixed-budget/from_table/_stage/GPU-CMAES/3P/gpu_cmaes_iterations_3params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-DE,3,42,0.771240688937894,525,3P,True,Fixed-budget/from_table/_stage/GPU-DE/3P/gpu_de_iterations_3params.json,Stop L (loss target): best_loss=0.771241 < 1.0
GPU-PSO,3,42,0.8148500243212816,1216,3P,True,Fixed-budget/from_table/_stage/GPU-PSO/3P/gpu_pso_iterations_3params.json,Stop L (loss target): best_loss=0.81485 < 1.0
GPU-CMAES,5,42,1.0219206924932827,1625,5P,True,Fixed-budget/from_table/_stage/GPU-CMAES/5P/gpu_cmaes_iterations_5params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-DE,5,42,0.9562149505394042,775,5P,True,Fixed-budget/from_table/_stage/GPU-DE/5P/gpu_de_iterations_5params.json,Stop L (loss target): best_loss=0.956215 < 1.0
GPU-PSO,5,42,0.9942677665453595,947,5P,True,Fixed-budget/from_table/_stage/GPU-PSO/5P/gpu_pso_iterations_5params.json,Stop L (loss target): best_loss=0.994268 < 1.0
GPU-CMAES,8,42,0.8950630112090692,960,8P,True,Fixed-budget/from_table/_stage/GPU-CMAES/8P/gpu_cmaes_iterations_8params.json,Stop L (loss target): best_loss=0.895063 < 1.0
GPU-DE,8,42,1.2524917969241103,2840,8P,True,Fixed-budget/from_table/_stage/GPU-DE/8P/gpu_de_iterations_8params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,8,42,0.803177347836216,2440,8P,True,Fixed-budget/from_table/_stage/GPU-PSO/8P/gpu_pso_iterations_8params.json,Stop L (loss target): best_loss=0.803177 < 1.0
GPU-CMAES,10,42,0.9969119314876947,450,10P,True,Fixed-budget/from_table/_stage/GPU-CMAES/10P/gpu_cmaes_iterations_10params.json,Stop L (loss target): best_loss=0.996912 < 1.0
GPU-DE,10,42,0.8555483822460414,4950,10P,True,Fixed-budget/from_table/_stage/GPU-DE/10P/gpu_de_iterations_10params.json,Stop L (loss target): best_loss=0.855548 < 1.0
GPU-PSO,10,42,0.9712969049317544,1576,10P,True,Fixed-budget/from_table/_stage/GPU-PSO/10P/gpu_pso_iterations_10params.json,Stop L (loss target): best_loss=0.971297 < 1.0
GPU-CMAES,20,42,0.9707965115181848,2550,20P,True,Fixed-budget/from_table/_stage/GPU-CMAES/20P/gpu_cmaes_iterations_20params.json,Stop L (loss target): best_loss=0.970797 < 1.0
GPU-DE,20,42,2.6430060471699828,12800,20P,True,Fixed-budget/from_table/_stage/GPU-DE/20P/gpu_de_iterations_20params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,20,42,0.913570993843279,3465,20P,True,Fixed-budget/from_table/_stage/GPU-PSO/20P/gpu_pso_iterations_20params.json,Stop L (loss target): best_loss=0.913571 < 1.0
GPU-CMAES,40,42,0.9106652241804088,3250,40P,True,Fixed-budget/from_table/_stage/GPU-CMAES/40P/gpu_cmaes_iterations_40params.json,Stop L (loss target): best_loss=0.910665 < 1.0
GPU-DE,40,42,3.212634721698485,5350,40P,True,Fixed-budget/from_table/_stage/GPU-DE/40P/gpu_de_iterations_40params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,40,42,0.9771275011893209,5359,40P,True,Fixed-budget/from_table/_stage/GPU-PSO/40P/gpu_pso_iterations_40params.json,Stop L (loss target): best_loss=0.977128 < 1.0
GPU-CMAES,80,42,1.9224647041975038,2650,80P,True,Fixed-budget/from_table/_stage/GPU-CMAES/80P/gpu_cmaes_iterations_80params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-DE,80,42,2.876317046150723,3450,80P,True,Fixed-budget/from_table/_stage/GPU-DE/80P/gpu_de_iterations_80params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,80,42,1.6514269471407523,2453,80P,True,Fixed-budget/from_table/_stage/GPU-PSO/80P/gpu_pso_iterations_80params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-CMAES,120,42,4.098980759297601,2650,120P,True,Fixed-budget/from_table/_stage/GPU-CMAES/120P/gpu_cmaes_iterations_120params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-DE,120,42,3.636151056278026,5900,120P,True,Fixed-budget/from_table/_stage/GPU-DE/120P/gpu_de_iterations_120params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,120,42,1.3271984568455761,4685,120P,True,Fixed-budget/from_table/_stage/GPU-PSO/120P/gpu_pso_iterations_120params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-CMAES,160,42,1.6270578513492135,2800,160P,True,Fixed-budget/from_table/_stage/GPU-CMAES/160P/gpu_cmaes_iterations_160params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-DE,160,42,3.645834263154236,3550,160P,True,Fixed-budget/from_table/_stage/GPU-DE/160P/gpu_de_iterations_160params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,160,42,2.9698581226489162,4633,160P,True,Fixed-budget/from_table/_stage/GPU-PSO/160P/gpu_pso_iterations_160params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-CMAES,210,42,0.9191028337085517,9600,210P,True,Fixed-budget/from_table/_stage/GPU-CMAES/210P/gpu_cmaes_iterations_210params.json,Stop L (loss target): best_loss=0.919103 < 1.0
GPU-DE,210,42,1.250257236892257,5200,210P,True,Fixed-budget/from_table/_stage/GPU-DE/210P/gpu_de_iterations_210params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,210,42,0.9227266008500312,6571,210P,True,Fixed-budget/from_table/_stage/GPU-PSO/210P/gpu_pso_iterations_210params.json,Stop L (loss target): best_loss=0.922727 < 1.0
