method,n_params,seed,is_approx_run,auc_normalized,final_loss,total_evals
GPU-CMAES,2,42,False,0.8923074371434337,0.7878708808109129,350
GPU-DE,2,42,False,1.2872886948065831,0.7917562097220884,440
GPU-PSO,2,42,False,2.0967631576590895,0.7903757635872397,1500
GPU-CMAES,3,42,False,0.8701699916830761,0.870169991683076,195
GPU-DE,3,42,False,2.8809515895262403,0.7713872676299357,1020
GPU-PSO,3,42,False,2.5462501371775894,0.7898343760425908,1155
GPU-CMAES,5,42,False,1.0004987347440277,0.76188185574164,1125
GPU-DE,5,42,False,2.4954480282949274,0.7900571458639216,2275
GPU-PSO,5,42,False,1.5834500605620252,0.7557482700808255,1276
GPU-CMAES,8,42,False,0.8805325801457404,0.6910690870970484,4040
GPU-DE,8,42,False,2.5738880310406733,0.6971251987070961,4400
GPU-PSO,8,42,False,2.3235988236255425,0.746570779434386,3156
GPU-CMAES,10,42,False,0.8972162060627065,0.65760220659472,3750
GPU-DE,10,42,False,5.209974923244018,1.4952044519608307,3300
GPU-PSO,10,42,False,2.0134796745906804,0.8286937220648014,4737
GPU-CMAES,20,2,False,0.6829020645085964,0.635587569772782,12200
GPU-DE,20,42,False,0.9258562082773867,0.7779678919094191,14200
GPU-PSO,20,2,False,0.7415877280371388,0.6678626461166989,2003
GPU-CMAES,40,2,False,0.6407703121305359,0.4294622071661782,20550
GPU-DE,40,42,False,0.5099704008804995,0.3044488531042154,16100
GPU-PSO,40,42,False,0.871912623713439,0.4528125496779303,8248
GPU-CMAES,80,2,False,0.7454591818654118,0.4995806225132031,13250
GPU-DE,80,42,False,4.095127447712253,1.1657257699768875,7000
GPU-PSO,80,42,False,0.9889276741950808,0.5547121383242403,4955
GPU-CMAES,120,2,False,1.3165231589873976,0.7978576538914758,7650
GPU-DE,120,42,False,7.053619950097156,2.826230595795527,8150
GPU-PSO,120,42,False,3.9905753173489056,0.8376827016971757,5290
GPU-CMAES,160,42,False,1.7281229875238902,1.1719148989250825,3300
GPU-DE,160,42,False,3.9098815673813476,0.9619051625421089,4700
GPU-PSO,160,42,False,3.16469629441799,1.361749609645535,6237
GPU-CMAES,210,2,False,2.1927025469891355,1.5420893636199833,5900
GPU-DE,210,42,False,4.09693793391716,0.8995444344596738,12400
GPU-PSO,210,2,False,5.553629658359291,0.8549619543974656,4710
