method,n_params,budget,seed,J_best,total_evals,beyond_run,final_loss
GPU-PSO,2,1000,42,0.7988366626712904,1500,False,0.7903757635872397
GPU-PSO,2,2000,42,0.7903757635872397,1500,True,0.7903757635872397
GPU-PSO,3,1000,42,0.7900103291855326,1155,False,0.7898343760425908
GPU-PSO,3,2000,42,0.7898343760425908,1155,True,0.7898343760425908
GPU-PSO,5,1000,42,0.768684077556517,1276,False,0.7557482700808255
GPU-PSO,5,2000,42,0.7557482700808255,1276,True,0.7557482700808255
GPU-PSO,8,1000,42,1.594157982203914,3156,False,0.746570779434386
GPU-PSO,8,2000,42,0.7911256578708042,3156,False,0.746570779434386
GPU-PSO,10,1000,42,1.2546093918028864,4737,False,0.8286937220648014
GPU-PSO,10,2000,42,1.085981280062359,4737,False,0.8286937220648014
GPU-PSO,20,1000,2,0.6762826693874738,2003,False,0.6678626461166989
GPU-PSO,20,2000,2,0.6678626461166989,2003,False,0.6678626461166989
GPU-PSO,40,1000,42,1.3393461114466358,8248,False,0.4528125496779303
GPU-PSO,40,2000,42,1.1839185882673502,8248,False,0.4528125496779303
GPU-PSO,80,1000,42,1.023496438728143,4955,False,0.5547121383242403
GPU-PSO,80,2000,42,0.6712381577547217,4955,False,0.5547121383242403
GPU-PSO,120,1000,42,8.49547669133147,5290,False,0.8376827016971757
GPU-PSO,120,2000,42,3.5215018041069466,5290,False,0.8376827016971757
GPU-PSO,160,1000,42,5.674633261525997,6237,False,1.361749609645535
GPU-PSO,160,2000,42,2.619711012820314,6237,False,1.361749609645535
GPU-PSO,210,1000,2,13.252404464857053,4710,False,0.8549619543974656
GPU-PSO,210,2000,2,3.038263567358153,4710,False,0.8549619543974656
GPU-CMAES,2,1000,42,0.7878708808109129,350,True,0.7878708808109129
GPU-CMAES,2,2000,42,0.7878708808109129,350,True,0.7878708808109129
GPU-CMAES,3,1000,42,0.870169991683076,195,True,0.870169991683076
GPU-CMAES,3,2000,42,0.870169991683076,195,True,0.870169991683076
GPU-CMAES,5,1000,42,0.76188185574164,1125,False,0.76188185574164
GPU-CMAES,5,2000,42,0.76188185574164,1125,True,0.76188185574164
GPU-CMAES,8,1000,42,0.7916727091169657,4040,False,0.6910690870970484
GPU-CMAES,8,2000,42,0.714339829263516,4040,False,0.6910690870970484
GPU-CMAES,10,1000,42,0.8193883730744956,3750,False,0.65760220659472
GPU-CMAES,10,2000,42,0.6932708897318026,3750,False,0.65760220659472
GPU-CMAES,20,1000,2,0.7478301492245416,12200,False,0.635587569772782
GPU-CMAES,20,2000,2,0.7058910231209556,12200,False,0.635587569772782
GPU-CMAES,40,1000,2,1.0642382542012687,20550,False,0.4294622071661782
GPU-CMAES,40,2000,2,0.9987808329303917,20550,False,0.4294622071661782
GPU-CMAES,80,1000,2,1.5525730159011937,13250,False,0.4995806225132031
GPU-CMAES,80,2000,2,0.9618163951032268,13250,False,0.4995806225132031
GPU-CMAES,120,1000,2,1.7597589132447178,7650,False,0.7978576538914758
GPU-CMAES,120,2000,2,1.5620464059486054,7650,False,0.7978576538914758
GPU-CMAES,160,1000,42,1.1719148989250825,3300,False,1.1719148989250825
GPU-CMAES,160,2000,42,1.1719148989250825,3300,False,1.1719148989250825
GPU-CMAES,210,1000,2,1.604244830919884,5900,False,1.5420893636199833
GPU-CMAES,210,2000,2,1.604244830919884,5900,False,1.5420893636199833
GPU-DE,2,1000,42,0.7917562097220884,440,True,0.7917562097220884
GPU-DE,2,2000,42,0.7917562097220884,440,True,0.7917562097220884
GPU-DE,3,1000,42,0.7713872676299357,1020,False,0.7713872676299357
GPU-DE,3,2000,42,0.7713872676299357,1020,True,0.7713872676299357
GPU-DE,5,1000,42,1.0702819531408354,2275,False,0.7900571458639216
GPU-DE,5,2000,42,0.7916600681094708,2275,False,0.7900571458639216
GPU-DE,8,1000,42,1.8779037338839846,4400,False,0.6971251987070961
GPU-DE,8,2000,42,0.9035607489435078,4400,False,0.6971251987070961
GPU-DE,10,1000,42,1.4952044519608307,3300,False,1.4952044519608307
GPU-DE,10,2000,42,1.4952044519608307,3300,False,1.4952044519608307
GPU-DE,20,1000,42,1.1528272361895038,14200,False,0.7779678919094191
GPU-DE,20,2000,42,0.9618566722162843,14200,False,0.7779678919094191
GPU-DE,40,1000,42,1.3434499276136411,16100,False,0.3044488531042154
GPU-DE,40,2000,42,0.5947245244234539,16100,False,0.3044488531042154
GPU-DE,80,1000,42,7.993826307081504,7000,False,1.1657257699768875
GPU-DE,80,2000,42,6.769332898641888,7000,False,1.1657257699768875
GPU-DE,120,1000,42,11.259013544549214,8150,False,2.826230595795527
GPU-DE,120,2000,42,7.838346790727349,8150,False,2.826230595795527
GPU-DE,160,1000,42,1.3053832071461249,4700,False,0.9619051625421089
GPU-DE,160,2000,42,1.3053832071461249,4700,False,0.9619051625421089
GPU-DE,210,1000,42,19.78105712966454,12400,False,0.8995444344596738
GPU-DE,210,2000,42,9.170666182491578,12400,False,0.8995444344596738
