n_params,GPU-PSO,GPU-CMAES,GPU-DE
2,approx_hold_final,approx_hold_final,approx_hold_final
3,approx_hold_final,approx_hold_final,approx_hold_final
5,approx_hold_final,approx_hold_final,approx_hold_final
8,approx_hold_final,approx_hold_final,approx_hold_final
10,approx_hold_final,approx_hold_final,approx_hold_final
20,approx_hold_final,observed,observed
40,approx_hold_final,observed,observed
80,approx_hold_final,observed,approx_hold_final
120,approx_hold_final,approx_hold_final,approx_hold_final
160,approx_hold_final,approx_hold_final,approx_hold_final
210,approx_hold_final,approx_hold_final,observed
