seed,method,n_params,budget,best_loss,fill_kind,is_approx,confidence,run_total_evals,run_final_loss,stop_reason,approx_run
2,GPU-PSO,2,100,7.249244957003035,observed,False,1.0,470,7.07433134882231,Stop A (normal convergence): rel_imp flat 21 iters (≥10) AND contraction_ratio=0.0680 < 0.1,False
2,GPU-PSO,2,250,7.092587014672007,observed,False,1.0,470,7.07433134882231,Stop A (normal convergence): rel_imp flat 21 iters (≥10) AND contraction_ratio=0.0680 < 0.1,False
2,GPU-PSO,2,500,7.074323501099176,approx_hold_final,True,0.7,470,7.07433134882231,Stop A (normal convergence): rel_imp flat 21 iters (≥10) AND contraction_ratio=0.0680 < 0.1,False
2,GPU-PSO,2,750,7.074258105663382,approx_hold_final,True,0.7,470,7.07433134882231,Stop A (normal convergence): rel_imp flat 21 iters (≥10) AND contraction_ratio=0.0680 < 0.1,False
2,GPU-PSO,2,1000,7.07419271425774,approx_hold_final,True,0.7,470,7.07433134882231,Stop A (normal convergence): rel_imp flat 21 iters (≥10) AND contraction_ratio=0.0680 < 0.1,False
2,GPU-PSO,2,1500,7.074061943535919,approx_hold_final,True,0.7,470,7.07433134882231,Stop A (normal convergence): rel_imp flat 21 iters (≥10) AND contraction_ratio=0.0680 < 0.1,False
2,GPU-PSO,2,2000,7.073931188931725,approx_hold_final,True,0.7,470,7.07433134882231,Stop A (normal convergence): rel_imp flat 21 iters (≥10) AND contraction_ratio=0.0680 < 0.1,False
2,GPU-PSO,2,3000,7.0736697280682765,approx_hold_final,True,0.7,470,7.07433134882231,Stop A (normal convergence): rel_imp flat 21 iters (≥10) AND contraction_ratio=0.0680 < 0.1,False
2,GPU-PSO,2,5000,7.073146999665525,approx_hold_final,True,0.7,470,7.07433134882231,Stop A (normal convergence): rel_imp flat 21 iters (≥10) AND contraction_ratio=0.0680 < 0.1,False
2,GPU-PSO,2,7500,7.072493951481078,approx_hold_final,True,0.7,470,7.07433134882231,Stop A (normal convergence): rel_imp flat 21 iters (≥10) AND contraction_ratio=0.0680 < 0.1,False
2,GPU-PSO,2,10000,7.071841305641792,approx_hold_final,True,0.7,470,7.07433134882231,Stop A (normal convergence): rel_imp flat 21 iters (≥10) AND contraction_ratio=0.0680 < 0.1,False
2,GPU-PSO,2,15000,7.070537220007312,approx_hold_final,True,0.7,470,7.07433134882231,Stop A (normal convergence): rel_imp flat 21 iters (≥10) AND contraction_ratio=0.0680 < 0.1,False
2,GPU-PSO,3,100,7.550089830265035,observed,False,1.0,345,7.28186761911273,Stop A (normal convergence): rel_imp flat 20 iters (≥10) AND contraction_ratio=0.0807 < 0.1,False
2,GPU-PSO,3,250,7.28186761911273,observed,False,1.0,345,7.28186761911273,Stop A (normal convergence): rel_imp flat 20 iters (≥10) AND contraction_ratio=0.0807 < 0.1,False
2,GPU-PSO,3,500,7.281867619112729,approx_hold_final,True,0.7,345,7.28186761911273,Stop A (normal convergence): rel_imp flat 20 iters (≥10) AND contraction_ratio=0.0807 < 0.1,False
2,GPU-PSO,3,750,7.281867619112729,approx_hold_final,True,0.7,345,7.28186761911273,Stop A (normal convergence): rel_imp flat 20 iters (≥10) AND contraction_ratio=0.0807 < 0.1,False
2,GPU-PSO,3,1000,7.281867619112729,approx_hold_final,True,0.7,345,7.28186761911273,Stop A (normal convergence): rel_imp flat 20 iters (≥10) AND contraction_ratio=0.0807 < 0.1,False
2,GPU-PSO,3,1500,7.281867619112729,approx_hold_final,True,0.7,345,7.28186761911273,Stop A (normal convergence): rel_imp flat 20 iters (≥10) AND contraction_ratio=0.0807 < 0.1,False
2,GPU-PSO,3,2000,7.281867619112729,approx_hold_final,True,0.7,345,7.28186761911273,Stop A (normal convergence): rel_imp flat 20 iters (≥10) AND contraction_ratio=0.0807 < 0.1,False
2,GPU-PSO,3,3000,7.281867619112729,approx_hold_final,True,0.7,345,7.28186761911273,Stop A (normal convergence): rel_imp flat 20 iters (≥10) AND contraction_ratio=0.0807 < 0.1,False
2,GPU-PSO,3,5000,7.281867619112729,approx_hold_final,True,0.7,345,7.28186761911273,Stop A (normal convergence): rel_imp flat 20 iters (≥10) AND contraction_ratio=0.0807 < 0.1,False
2,GPU-PSO,3,7500,7.281867619112729,approx_hold_final,True,0.7,345,7.28186761911273,Stop A (normal convergence): rel_imp flat 20 iters (≥10) AND contraction_ratio=0.0807 < 0.1,False
2,GPU-PSO,3,10000,7.281867619112729,approx_hold_final,True,0.7,345,7.28186761911273,Stop A (normal convergence): rel_imp flat 20 iters (≥10) AND contraction_ratio=0.0807 < 0.1,False
2,GPU-PSO,3,15000,7.281867619112729,approx_hold_final,True,0.7,345,7.28186761911273,Stop A (normal convergence): rel_imp flat 20 iters (≥10) AND contraction_ratio=0.0807 < 0.1,False
2,GPU-PSO,5,100,7.84599483806607,observed,False,1.0,365,7.592209992526448,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0064 < 0.1,False
2,GPU-PSO,5,250,7.628490434379466,observed,False,1.0,365,7.592209992526448,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0064 < 0.1,False
2,GPU-PSO,5,500,7.591755182961608,approx_hold_final,True,0.7,365,7.592209992526448,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0064 < 0.1,False
2,GPU-PSO,5,750,7.590913422598543,approx_hold_final,True,0.7,365,7.592209992526448,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0064 < 0.1,False
2,GPU-PSO,5,1000,7.590072284666098,approx_hold_final,True,0.7,365,7.592209992526448,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0064 < 0.1,False
2,GPU-PSO,5,1500,7.588391874252412,approx_hold_final,True,0.7,365,7.592209992526448,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0064 < 0.1,False
2,GPU-PSO,5,2000,7.586713948042635,approx_hold_final,True,0.7,365,7.592209992526448,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0064 < 0.1,False
2,GPU-PSO,5,3000,7.583365533550326,approx_hold_final,True,0.7,365,7.592209992526448,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0064 < 0.1,False
2,GPU-PSO,5,5000,7.576698353786913,approx_hold_final,True,0.7,365,7.592209992526448,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0064 < 0.1,False
2,GPU-PSO,5,7500,7.568419670736072,approx_hold_final,True,0.7,365,7.592209992526448,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0064 < 0.1,False
2,GPU-PSO,5,10000,7.560202000220917,approx_hold_final,True,0.7,365,7.592209992526448,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0064 < 0.1,False
2,GPU-PSO,5,15000,7.543947901502031,approx_hold_final,True,0.7,365,7.592209992526448,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0064 < 0.1,False
2,GPU-PSO,8,100,2.1059536053619667,observed,False,1.0,1674,0.9509798549994976,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0873 < 0.1,False
2,GPU-PSO,8,250,1.3248044014794063,observed,False,1.0,1674,0.9509798549994976,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0873 < 0.1,False
2,GPU-PSO,8,500,1.0590347612599038,observed,False,1.0,1674,0.9509798549994976,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0873 < 0.1,False
2,GPU-PSO,8,750,1.0038051406705701,observed,False,1.0,1674,0.9509798549994976,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0873 < 0.1,False
2,GPU-PSO,8,1000,1.0038051406705701,observed,False,1.0,1674,0.9509798549994976,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0873 < 0.1,False
2,GPU-PSO,8,1500,0.9634981076012443,observed,False,1.0,1674,0.9509798549994976,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0873 < 0.1,False
2,GPU-PSO,8,2000,0.9507743458347696,approx_hold_final,True,0.7,1674,0.9509798549994976,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0873 < 0.1,False
2,GPU-PSO,8,3000,0.9501457948386094,approx_hold_final,True,0.7,1674,0.9509798549994976,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0873 < 0.1,False
2,GPU-PSO,8,5000,0.9488970014218732,approx_hold_final,True,0.7,1674,0.9509798549994976,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0873 < 0.1,False
2,GPU-PSO,8,7500,0.9473514625013779,approx_hold_final,True,0.7,1674,0.9509798549994976,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0873 < 0.1,False
2,GPU-PSO,8,10000,0.945822917181208,approx_hold_final,True,0.7,1674,0.9509798549994976,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0873 < 0.1,False
2,GPU-PSO,8,15000,0.9428160620001678,approx_hold_final,True,0.7,1674,0.9509798549994976,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0873 < 0.1,False
2,GPU-PSO,10,100,1.4298241710807815,observed,False,1.0,3890,1.0510736147505837,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0860 < 0.1,False
2,GPU-PSO,10,250,1.3170323409765259,observed,False,1.0,3890,1.0510736147505837,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0860 < 0.1,False
2,GPU-PSO,10,500,1.176706415102339,observed,False,1.0,3890,1.0510736147505837,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0860 < 0.1,False
2,GPU-PSO,10,750,1.1512947480651028,observed,False,1.0,3890,1.0510736147505837,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0860 < 0.1,False
2,GPU-PSO,10,1000,1.129829613877223,observed,False,1.0,3890,1.0510736147505837,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0860 < 0.1,False
2,GPU-PSO,10,1500,1.1137780692572343,observed,False,1.0,3890,1.0510736147505837,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0860 < 0.1,False
2,GPU-PSO,10,2000,1.0990626417950515,observed,False,1.0,3890,1.0510736147505837,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0860 < 0.1,False
2,GPU-PSO,10,3000,1.0703168195887474,observed,False,1.0,3890,1.0510736147505837,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0860 < 0.1,False
2,GPU-PSO,10,5000,1.0508627764512795,approx_hold_final,True,0.7,3890,1.0510736147505837,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0860 < 0.1,False
2,GPU-PSO,10,7500,1.0503889474731345,approx_hold_final,True,0.7,3890,1.0510736147505837,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0860 < 0.1,False
2,GPU-PSO,10,10000,1.0499165444309042,approx_hold_final,True,0.7,3890,1.0510736147505837,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0860 < 0.1,False
2,GPU-PSO,10,15000,1.0489759990023155,approx_hold_final,True,0.7,3890,1.0510736147505837,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0860 < 0.1,False
2,GPU-PSO,20,100,1.3718193599044404,observed,False,1.0,2003,0.6678626461166989,Stop A (normal convergence): rel_imp flat 14 iters (≥10) AND contraction_ratio=0.0932 < 0.1,False
2,GPU-PSO,20,250,0.8322250617687144,observed,False,1.0,2003,0.6678626461166989,Stop A (normal convergence): rel_imp flat 14 iters (≥10) AND contraction_ratio=0.0932 < 0.1,False
2,GPU-PSO,20,500,0.7099599728850722,observed,False,1.0,2003,0.6678626461166989,Stop A (normal convergence): rel_imp flat 14 iters (≥10) AND contraction_ratio=0.0932 < 0.1,False
2,GPU-PSO,20,750,0.687255785528866,observed,False,1.0,2003,0.6678626461166989,Stop A (normal convergence): rel_imp flat 14 iters (≥10) AND contraction_ratio=0.0932 < 0.1,False
2,GPU-PSO,20,1000,0.6762826693874738,observed,False,1.0,2003,0.6678626461166989,Stop A (normal convergence): rel_imp flat 14 iters (≥10) AND contraction_ratio=0.0932 < 0.1,False
2,GPU-PSO,20,1500,0.6755665136696328,observed,False,1.0,2003,0.6678626461166989,Stop A (normal convergence): rel_imp flat 14 iters (≥10) AND contraction_ratio=0.0932 < 0.1,False
