method,n_params,case,seed,is_approx_run,final_loss,total_evals,time_s,n_iterations,converged,stop_reason,source_json
GPU-CMAES,2,2P_203_200,42,False,0.7878708808109129,350,1724.7476334571838,35,True,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0006 < 0.1,GPU-cmaes/results/sweep_gpu1_w16/2P_203_200/gpu_cmaes_iterations_2params.json
GPU-DE,2,2P_203_200,42,False,0.7917562097220884,440,2516.1217017173767,44,True,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0067 < 0.1,GPU-de/results/sweep_gpu0_w16/2P_203_200/gpu_de_iterations_2params.json
GPU-PSO,2,2P_203_200,42,False,0.7903757635872397,1500,7813.678601026535,150,True,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0167 < 0.1,GPU-pso/results/sweep_gpu7_w16/2P_203_200/gpu_pso_iterations_2params.json
GPU-CMAES,3,3P_203_200_194,42,False,0.870169991683076,195,920.6985681056976,13,True,Stop A (normal convergence): rel_imp flat 12 iters (≥10) AND contraction_ratio=0.0950 < 0.1,GPU-cmaes/results/sweep_gpu1_w16/3P_203_200_194/gpu_cmaes_iterations_3params.json
GPU-DE,3,3P_203_200_194,42,False,0.7713872676299357,1020,5191.748945951462,68,True,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0062 < 0.1,GPU-de/results/sweep_gpu0_w16/3P_203_200_194/gpu_de_iterations_3params.json
GPU-PSO,3,3P_203_200_194,42,False,0.7898343760425908,1155,6565.927617549896,114,True,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0776 < 0.1,GPU-pso/results/sweep_gpu7_w16/3P_203_200_194/gpu_pso_iterations_3params.json
GPU-CMAES,5,5P_203_150_200_194_181,42,False,0.76188185574164,1125,5573.719929218292,45,True,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0207 < 0.1,GPU-cmaes/results/sweep_gpu1_w16/5P_203_150_200_194_181/gpu_cmaes_iterations_5params.json
GPU-DE,5,5P_203_150_200_194_181,42,False,0.7900571458639216,2275,12413.61995959282,91,True,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0577 < 0.1,GPU-de/results/sweep_gpu0_w16/5P_203_150_200_194_181/gpu_de_iterations_5params.json
GPU-PSO,5,5P_203_150_200_194_181,42,False,0.7557482700808255,1276,6670.459325551987,110,True,Stop A (normal convergence): rel_imp flat 16 iters (≥10) AND contraction_ratio=0.0753 < 0.1,GPU-pso/results/sweep_gpu7_w16/5P_203_150_200_194_181/gpu_pso_iterations_5params.json
GPU-CMAES,8,8P_150_154_167_181_188_194_200_203,42,False,0.6910690870970484,4040,17914.001737594604,101,True,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0192 < 0.1,GPU-cmaes/results/sweep_gpu1_w16/8P_150_154_167_181_188_194_200_203/gpu_cmaes_iterations_8params.json
