method,n_params,case,seed,is_approx_run,final_loss,total_evals,time_s,n_iterations,converged,stop_reason,source_json
GPU-CMAES,2,2P_seed2,2,False,7.07433134882231,340,1837.9666123390198,34,True,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0063 < 0.1,GPU-cmaes/results/sweep_gpu1_w16_seed2_random/2P_seed2/gpu_cmaes_iterations_2params.json
GPU-DE,2,2P_seed2_approx,2,True,3.979853570864475,440,,44,False,"APPROXIMATED seed2 (ratio_peers): seed-transfer from seed42 × geo-mean ratios of peers ['GPU-PSO', 'GPU-CMAES']",SYNTHETIC
GPU-PSO,2,2P_seed2,2,False,7.07433134882231,470,2464.822863340378,47,True,Stop A (normal convergence): rel_imp flat 21 iters (≥10) AND contraction_ratio=0.0680 < 0.1,GPU-pso/results/sweep_gpu7_w16_seed2_random/2P_seed2/gpu_pso_iterations_2params.json
GPU-CMAES,3,3P_seed2,2,False,7.230556475781328,600,2811.490228176117,40,True,Stop A (normal convergence): rel_imp flat 13 iters (≥10) AND contraction_ratio=0.0803 < 0.1,GPU-cmaes/results/sweep_gpu1_w16_seed2_random/3P_seed2/gpu_cmaes_iterations_3params.json
GPU-DE,3,3P_seed2_approx,2,True,6.734706375765051,1020,,68,False,"APPROXIMATED seed2 (ratio_peers): seed-transfer from seed42 × geo-mean ratios of peers ['GPU-PSO', 'GPU-CMAES']",SYNTHETIC
GPU-PSO,3,3P_seed2,2,False,7.28186761911273,345,1814.1257288455963,33,True,Stop A (normal convergence): rel_imp flat 20 iters (≥10) AND contraction_ratio=0.0807 < 0.1,GPU-pso/results/sweep_gpu7_w16_seed2_random/3P_seed2/gpu_pso_iterations_3params.json
GPU-CMAES,5,5P_seed2,2,False,7.616595617498358,550,2781.2204756736755,22,True,Stop A (normal convergence): rel_imp flat 16 iters (≥10) AND contraction_ratio=0.0874 < 0.1,GPU-cmaes/results/sweep_gpu1_w16_seed2_random/5P_seed2/gpu_cmaes_iterations_5params.json
GPU-DE,5,5P_seed2_approx,2,True,7.9175472584853015,2275,,91,False,"APPROXIMATED seed2 (ratio_peers): seed-transfer from seed42 × geo-mean ratios of peers ['GPU-PSO', 'GPU-CMAES']",SYNTHETIC
GPU-PSO,5,5P_seed2,2,False,7.592209992526448,365,1933.9377913475037,31,True,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0064 < 0.1,GPU-pso/results/sweep_gpu7_w16_seed2_random/5P_seed2/gpu_pso_iterations_5params.json
GPU-CMAES,8,8P_seed2,2,False,0.9585280275647811,1720,7633.2878251075745,43,True,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0927 < 0.1,GPU-cmaes/results/sweep_gpu1_w16_seed2_random/8P_seed2/gpu_cmaes_iterations_8params.json
