method,n_params,seed,final_loss,total_evals,case,selected,source_json,stop_reason
GPU-CMAES,2,42,0.7878708808109129,350,2P_203_200,True,GPU-cmaes/results/sweep_gpu1_w16/2P_203_200/gpu_cmaes_iterations_2params.json,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0006 < 0.1
GPU-DE,2,42,0.7917562097220884,440,2P_203_200,True,GPU-de/results/sweep_gpu0_w16/2P_203_200/gpu_de_iterations_2params.json,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0067 < 0.1
GPU-PSO,2,42,0.7903757635872397,1500,2P_203_200,True,GPU-pso/results/sweep_gpu7_w16/2P_203_200/gpu_pso_iterations_2params.json,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0167 < 0.1
GPU-CMAES,3,42,0.870169991683076,195,3P_203_200_194,True,GPU-cmaes/results/sweep_gpu1_w16/3P_203_200_194/gpu_cmaes_iterations_3params.json,Stop A (normal convergence): rel_imp flat 12 iters (≥10) AND contraction_ratio=0.0950 < 0.1
GPU-DE,3,42,0.7713872676299357,1020,3P_203_200_194,True,GPU-de/results/sweep_gpu0_w16/3P_203_200_194/gpu_de_iterations_3params.json,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0062 < 0.1
GPU-PSO,3,42,0.7898343760425908,1155,3P_203_200_194,True,GPU-pso/results/sweep_gpu7_w16/3P_203_200_194/gpu_pso_iterations_3params.json,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0776 < 0.1
GPU-CMAES,5,42,0.76188185574164,1125,5P_203_150_200_194_181,True,GPU-cmaes/results/sweep_gpu1_w16/5P_203_150_200_194_181/gpu_cmaes_iterations_5params.json,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0207 < 0.1
GPU-DE,5,42,0.7900571458639216,2275,5P_203_150_200_194_181,True,GPU-de/results/sweep_gpu0_w16/5P_203_150_200_194_181/gpu_de_iterations_5params.json,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0577 < 0.1
GPU-PSO,5,42,0.7557482700808255,1276,5P_203_150_200_194_181,True,GPU-pso/results/sweep_gpu7_w16/5P_203_150_200_194_181/gpu_pso_iterations_5params.json,Stop A (normal convergence): rel_imp flat 16 iters (≥10) AND contraction_ratio=0.0753 < 0.1
GPU-CMAES,8,42,0.6910690870970484,4040,8P_150_154_167_181_188_194_200_203,True,GPU-cmaes/results/sweep_gpu1_w16/8P_150_154_167_181_188_194_200_203/gpu_cmaes_iterations_8params.json,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0192 < 0.1
GPU-DE,8,42,0.6971251987070961,4400,8P_150_154_167_181_188_194_200_203,True,GPU-de/results/sweep_gpu0_w16/8P_150_154_167_181_188_194_200_203/gpu_de_iterations_8params.json,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0750 < 0.1
GPU-PSO,8,42,0.746570779434386,3156,8P_150_154_167_181_188_194_200_203,True,GPU-pso/results/sweep_gpu7_w16/8P_150_154_167_181_188_194_200_203/gpu_pso_iterations_8params.json,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0572 < 0.1
GPU-CMAES,10,42,0.65760220659472,3750,10P_118_150_154_167_181_188_190_194_200_203,True,GPU-cmaes/results/sweep_gpu1_w16/10P_118_150_154_167_181_188_190_194_200_203/gpu_cmaes_iterations_10params.json,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0337 < 0.1
GPU-DE,10,42,1.4952044519608307,3300,10P_118_150_154_167_181_188_190_194_200_203,True,GPU-de/results/sweep_gpu0_w16/10P_118_150_154_167_181_188_190_194_200_203/gpu_de_iterations_10params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,10,42,0.8286937220648014,4737,10P_118_150_154_167_181_188_190_194_200_203,True,GPU-pso/results/sweep_gpu7_w16/10P_118_150_154_167_181_188_190_194_200_203/gpu_pso_iterations_10params.json,Stop A (normal convergence): rel_imp flat 11 iters (≥10) AND contraction_ratio=0.0875 < 0.1
GPU-CMAES,20,2,0.635587569772782,12200,20P_seed2,True,GPU-cmaes/results/sweep_gpu1_w16_seed2_random/20P_seed2/gpu_cmaes_iterations_20params.json,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0428 < 0.1
GPU-DE,20,42,0.7779678919094191,14200,20P_seed42,True,GPU-de/results/sweep_gpu0_w16/20P_seed42/gpu_de_iterations_20params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,20,2,0.6678626461166989,2003,20P_seed2,True,GPU-pso/results/sweep_gpu7_w16_seed2_random/20P_seed2/gpu_pso_iterations_20params.json,Stop A (normal convergence): rel_imp flat 14 iters (≥10) AND contraction_ratio=0.0932 < 0.1
GPU-CMAES,40,2,0.4294622071661782,20550,40P_seed2,True,GPU-cmaes/results/sweep_gpu1_w16_seed2_random/40P_seed2/gpu_cmaes_iterations_40params.json,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0520 < 0.1
GPU-DE,40,42,0.3044488531042154,16100,40P_seed42,True,GPU-de/results/sweep_gpu0_w16/40P_seed42/gpu_de_iterations_40params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,40,42,0.4528125496779303,8248,40P_seed42,True,GPU-pso/results/sweep_gpu7_w16/40P_seed42/gpu_pso_iterations_40params.json,Stop A (normal convergence): rel_imp flat 28 iters (≥10) AND contraction_ratio=0.0633 < 0.1
GPU-CMAES,80,2,0.4995806225132031,13250,80P_seed2,True,GPU-cmaes/results/sweep_gpu1_w16_seed2_random/80P_seed2/gpu_cmaes_iterations_80params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-DE,80,42,1.1657257699768875,7000,80P_seed42,True,GPU-de/results/sweep_gpu0_w16/80P_seed42/gpu_de_iterations_80params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,80,42,0.5547121383242403,4955,80P_seed42,True,GPU-pso/results/sweep_gpu7_w16/80P_seed42/gpu_pso_iterations_80params.json,Stop A (normal convergence): rel_imp flat 25 iters (≥10) AND contraction_ratio=0.0807 < 0.1
GPU-CMAES,120,2,0.7978576538914758,7650,120P_seed2,True,GPU-cmaes/results/sweep_gpu1_w16_seed2_random/120P_seed2/gpu_cmaes_iterations_120params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-DE,120,42,2.826230595795527,8150,120P_seed42,True,GPU-de/results/sweep_gpu0_w16/120P_seed42/gpu_de_iterations_120params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,120,42,0.8376827016971757,5290,120P_seed42,True,GPU-pso/results/sweep_gpu7_w16/120P_seed42/gpu_pso_iterations_120params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-CMAES,160,42,1.1719148989250825,3300,160P_seed42,True,GPU-cmaes/results/sweep_gpu1_w16/160P_seed42/gpu_cmaes_iterations_160params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-DE,160,42,0.9619051625421089,4700,160P_seed42,True,GPU-de/results/sweep_gpu0_w16/160P_seed42/gpu_de_iterations_160params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-PSO,160,42,1.361749609645535,6237,160P_seed42,True,GPU-pso/results/sweep_gpu7_w16/160P_seed42/gpu_pso_iterations_160params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-CMAES,210,2,1.5420893636199833,5900,210P_seed2,True,GPU-cmaes/results/sweep_gpu1_w16_seed2_random/210P_seed2/gpu_cmaes_iterations_210params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
GPU-DE,210,42,0.8995444344596738,12400,210P_seed42,True,GPU-de/results/sweep_gpu0_w16/210P_seed42/gpu_de_iterations_210params.json,Stop B (long stagnation): rel_imp flat 50 iters (≥50)
