rank,nX_index,avg_abs_gradient,share_of_total,cumulative_share,relative_to_rank1,base_Kij
1,203,21.38276956226017,0.13385693141786437,0.13385693141786437,1.0,0.04077158
2,190,9.99514159598517,0.06256995751789844,0.19642688893576282,0.46743905493076265,0.01083536
3,150,7.508458043727979,0.04700322614836115,0.243430115084124,0.35114525374580763,0.01718477
4,194,6.10109311849558,0.038193069459901356,0.28162318454402535,0.28532754378384145,0.09246003
5,177,5.497122230007243,0.03441218927207668,0.316035373816102,0.2570818627587639,-0.003078511
6,184,5.478063467074278,0.034292880708450296,0.3503282545245523,0.2561905487090347,-0.002576667
7,114,5.16564657790721,0.03233713938199331,0.38266539390654564,0.24157986470678677,-0.004566838
8,200,4.035715443469809,0.025263728525232915,0.40792912243177853,0.1887367972478506,0.04541876
9,188,3.740398172368424,0.02341503144278862,0.43134415387456715,0.1749258046988494,0.07571994
10,181,3.644291255883021,0.022813398577068808,0.45415755245163597,0.1704312084209646,0.08464206
11,206,3.59329190658162,0.022494140756798318,0.4766516932084343,0.16804614089484707,0.1290418
12,154,3.4884832540178428,0.02183803470012596,0.4984897279085603,0.1631445937749286,0.1093149
13,100,3.387610325182313,0.02120656642012877,0.519696294328689,0.15842710717704808,-0.009188155
14,160,3.3535095402919985,0.020993094240527935,0.540689388569217,0.1568323285029842,-0.003814105
15,195,3.265287552497446,0.0204408213211861,0.5611302098904031,0.1527064837410287,-0.004902513
16,118,2.808897365254463,0.017583801802938396,0.5787140116933415,0.13136265426589394,0.1464255
17,69,2.7333932144982023,0.017111143015679006,0.5958251547090204,0.12783157983999158,-0.009798623
18,127,2.535182781376818,0.01587033834463854,0.611695493053659,0.11856194652405205,0.0202226
19,199,2.427511408240104,0.015196311550884653,0.6268918046045436,0.11352651962001103,0.09219704
20,164,2.411184558149792,0.01509410486309123,0.6419859094676349,0.11276296791812448,0.09085359
21,131,2.090900873210471,0.01308911710299997,0.6550750265706349,0.09778438041538066,0.1156619
22,52,2.0372279428586184,0.012753122566081604,0.6678281491367165,0.09527427852256583,-0.04723627
23,56,1.9848912633094211,0.012425493008803844,0.6802536421455203,0.09282666857209573,0.1113234
24,104,1.835414759685278,0.011489764545943106,0.6917434066914634,0.08583615674017832,0.1668513
25,73,1.6803137809981916,0.010518826660347407,0.7022622333518108,0.07858260718311653,0.107606
26,19,1.5823715818283708,0.009905704856877728,0.7121679382086885,0.07400218092520627,0.1246032
27,15,1.5769577928848315,0.009871814337073168,0.7220397525457617,0.07374899627913992,-0.03111987
28,38,1.554937395484748,0.009733965831714934,0.7317737183774766,0.07271917657613247,0.1309617
29,173,1.5497332665573458,0.009701387791396223,0.7414751061688728,0.07247579702175579,0.0877541
30,182,1.459310474348975,0.009135337754706388,0.7506104439235792,0.06824702806153822,0.01850238
31,201,1.4285740825348512,0.008942926800684915,0.7595533707242641,0.0668095907022369,-0.0008917118
32,85,1.381905075105294,0.008650777081320978,0.7682041478055851,0.06462703865753235,-0.03210053
33,169,1.3714541070956587,0.008585353633528456,0.7767895014391135,0.06413828213891556,-0.003301794
34,175,1.327558068152579,0.008310562799852247,0.7851000642389657,0.062085412476018634,0.0208318
35,89,1.3268816450491512,0.008306328366108697,0.7934063926050744,0.06205377844931043,0.1097355
36,34,1.272072491428366,0.007963221029338,0.8013696136344124,0.059490539227132155,0.03722401
37,191,1.201666228063964,0.007522475206439991,0.8088920888408524,0.05619787579738325,0.09174542
38,189,1.1083848027116792,0.00693853002012608,0.8158306188609785,0.05183541820831007,0.01854994
39,178,0.9079875474094457,0.005684035761035165,0.8215146546220137,0.04246351459597692,0.04208504
40,185,0.883556707236374,0.005531097794416496,0.8270457524164302,0.041320966615841025,0.03990757
41,151,0.8757195732425563,0.00548203704461659,0.8325277894610468,0.040954450296661775,0.1156092
42,112,0.8433715853149061,0.005279537439084682,0.8378073269001315,0.039441644023673485,-0.0136567
43,115,0.748727709497642,0.004687063262271204,0.8424943901624027,0.03501546922243038,0.1390262
44,139,0.7441835119915571,0.004658616417153684,0.8471530065795564,0.03480295243442246,0.08623535
45,143,0.7300882518320345,0.004570379565187593,0.851723386144744,0.03414376466557515,0.126317
46,158,0.7207723076963292,0.004512061408990153,0.8562354475537342,0.03370808938466356,0.02389036
47,35,0.6046303425159619,0.0037850083945236233,0.8600204559482578,0.028276521465353723,0.06147758
48,161,0.6032399243289075,0.0037763043250454028,0.8637967602733032,0.02821149629716838,0.04259788
49,98,0.5959973208451224,0.003730965358313661,0.8675277256316168,0.027872784164359912,-0.02331139
50,146,0.592341333778982,0.0037080787435301073,0.8712358043751469,0.027701805982347744,0.03087292
51,53,0.5640598936352526,0.0035310358781194826,0.8747668402532665,0.02637917843116068,0.03029904
52,111,0.5527426857544071,0.0034601897365690555,0.8782270299898355,0.025849910795932553,0.02084087
53,16,0.5341765591096475,0.003343965094398788,0.8815709950842343,0.024981635683548224,0.05764106
54,50,0.5334090678109691,0.0033391605703715394,0.8849101556546058,0.02494574270455672,-0.0136466
55,147,0.5068817369648877,0.003173098494295573,0.8880832541489014,0.02370514892792541,0.02613958
56,67,0.5047132200525445,0.0031595234979056607,0.8912427776468071,0.023603734707188982,0.03099794
57,70,0.4982071863363626,0.0031187954852684974,0.8943615731320756,0.023299469457674023,0.04047814
58,128,0.4782105002391696,0.0029936154878082624,0.897355188619884,0.022364291905534735,0.1256011
59,110,0.4771061088654573,0.0029867019568019515,0.9003418905766859,0.02231264324652933,0.02678905
60,208,0.4675153829863013,0.0029266636566876595,0.9032685542333736,0.021864117350422624,0.127426
61,101,0.4660558682185579,0.0029175270400487183,0.9061860812734224,0.021795860768248188,0.1367337
62,32,0.4035574758881337,0.0025262847834485354,0.9087123660568709,0.01887302179042318,0.1137546
63,45,0.3794186126275201,0.0023751746031431724,0.9110875406600141,0.01774412858553087,0.01251104
64,13,0.3585822003511305,0.00224473788862151,0.9133322785486356,0.01676967987271468,0.02756454
65,107,0.3584391381011279,0.002243842313624486,0.9155761208622601,0.01676298933388686,-0.01532545
66,167,0.3527710173653948,0.002208359667357264,0.9177844805296174,0.016497910447859997,0.02275871
67,202,0.3357149922697056,0.0021015883169553692,0.9198860688465728,0.015700257690763813,0.006676938
68,86,0.3352478064957981,0.0020986637166637537,0.9219847325632365,0.015678408988118106,0.03980358
69,149,0.3011838046756097,0.001885421800447686,0.9238701543636842,0.014085350534160384,0.02952908
70,144,0.2954544355120448,0.0018495557367480375,0.9257197101004323,0.013817407265778677,0.03644965
71,170,0.290495534166417,0.0018185128301967171,0.927538222930629,0.013585496178153241,0.04231739
72,108,0.2790871836657185,0.001747096132461817,0.9292853190630909,0.013051966110054214,0.03335307
