rank,nX_index,avg_abs_gradient,share_of_total,cumulative_share,relative_to_rank1,base_Kij,top10_hits,top10_persistence,mean_instantaneous_rank,median_instantaneous_rank,n_iterations
1,203,21.38276956226017,0.13385693141786437,0.13385693141786437,1.0,0.04077158,573,0.8788343558282209,4.515337423312883,2.0,652
2,190,9.99514159598517,0.06256995751789844,0.19642688893576282,0.46743905493076265,0.01083536,480,0.7361963190184049,22.567484662576685,5.0,652
3,150,7.508458043727979,0.04700322614836115,0.243430115084124,0.35114525374580763,0.01718477,138,0.2116564417177914,130.78067484662577,165.0,652
4,194,6.10109311849558,0.038193069459901356,0.28162318454402535,0.28532754378384145,0.09246003,403,0.6180981595092024,11.865030674846626,7.0,652
5,177,5.497122230007243,0.03441218927207668,0.316035373816102,0.2570818627587639,-0.003078511,254,0.3895705521472393,97.59969325153374,54.5,652
6,184,5.478063467074278,0.034292880708450296,0.3503282545245523,0.2561905487090347,-0.002576667,250,0.3834355828220859,99.1042944785276,40.0,652
7,114,5.16564657790721,0.03233713938199331,0.38266539390654564,0.24157986470678677,-0.004566838,265,0.40644171779141103,67.93558282208589,25.0,652
8,200,4.035715443469809,0.025263728525232915,0.40792912243177853,0.1887367972478506,0.04541876,332,0.50920245398773,15.22239263803681,10.0,652
9,188,3.740398172368424,0.02341503144278862,0.43134415387456715,0.1749258046988494,0.07571994,347,0.5322085889570553,16.504601226993866,10.0,652
10,181,3.644291255883021,0.022813398577068808,0.45415755245163597,0.1704312084209646,0.08464206,309,0.47392638036809814,16.817484662576685,11.0,652
