iteration,loss,n_evals_per_iter,cumulative_evals,param_displacement_norm,gradient_spread,iteration_classification,spearman_correlation_vs_iter1
1,9.002592215256982,211,211,0.0,318012.0852308873,progress,1.0
2,3.088269035960516,211,423,0.071195243657598,172769.46924846715,progress,0.8793791890324693
3,1.5170339796475691,211,635,0.0796688142349292,38867.62175827373,progress,0.58442595070183
4,1.3709531499056593,211,847,0.0719016292933428,124475.35807668832,progress,0.8417288373886028
5,1.36685322419997,211,1059,0.0504521995978979,39401.7877545449,progress,0.6630931054478073
6,1.6992899627909852,211,1271,0.0482910303731133,83788.32238831167,divergent,0.8570540958168795
7,1.255407496613801,211,1483,0.0284000063372629,16062.740135033688,progress,0.9244634637001812
8,1.2497310857644108,211,1695,0.0223869615069967,11815.590027857384,progress,0.8332271868814647
9,1.1500529170937053,211,1907,0.0298386840788478,26492.5958753955,progress,0.8603298422704757
10,1.136338914397227,211,2119,0.0258961561410879,48886.3586436431,progress,0.8564502596430758
11,1.0556335551905818,211,2331,0.0303754952209271,65447.893062018775,progress,0.7089483726550326
12,1.008425523958362,211,2543,0.0383122034260952,10967.731797691742,progress,0.8288098531550764
13,0.9694696719331968,211,2755,0.0286105758554674,15622.30400869566,progress,0.7595423284622586
14,0.9396437358761772,211,2967,0.0241158145740402,30387.531446593297,progress,0.6947958003582847
15,0.8927767997602042,211,3179,0.0210385846026867,23550.51057583766,progress,0.892220426119154
16,0.8797517096726909,211,3391,0.0176224429263165,48707.23522403763,progress,0.7878811634860525
17,0.9164851836761928,211,3603,0.017563946122543,36993.02052910168,plateau,0.9133197059862064
18,0.8740003038691877,211,3815,0.0105816550623239,16449.296660338572,progress,0.846656710712585
19,0.8775151984299998,211,4027,0.0171860848287258,16178.646349979776,plateau,0.8650244741539329
20,0.9313324271228766,211,4239,0.0350470008853741,55266.5570752068,plateau,0.6979328977333468
21,0.8664350037175341,211,4451,0.0698323995666228,198306.95741009864,progress,0.4125205301059628
22,1.009433461351718,211,4663,0.0604946192307531,133594.40759358095,divergent,0.9311678593294956
23,0.7708410069885622,211,4875,0.0097804478873404,47196.86637222295,progress,0.742896664323454
24,0.813994610716225,211,5087,0.0040693081363041,30484.50430123165,plateau,0.8410044931371946
25,0.800429584025371,211,5299,0.006945660116798,72090.9426243466,progress,0.8369784867165759
26,0.7888960832710689,211,5511,0.0310349625086901,58566.59092485293,progress,0.5431927513743428
27,0.7850437647879759,211,5723,0.034915011646782,34075.81990100222,progress,0.7763447826805272
28,0.805786958989607,211,5935,0.0192078636131755,36250.009513524,plateau,0.8211699001921001
29,0.7679633219740526,211,6147,0.0122509174150775,108688.27872664428,progress,0.8935719306884186
30,0.7940345642893543,211,6359,0.012136207731541,49545.202394183536,plateau,0.8217270880777989
31,0.798284000371809,211,6571,0.0108521016393122,49078.69756062294,plateau,0.8591623392820698
32,0.7823104733608828,211,6783,0.0118981852707984,71429.02688464483,progress,0.816900286044711
33,0.774634585560052,211,6995,0.0180567173175332,24211.02692733545,progress,0.6907296245784647
34,0.7720817792598428,211,7207,0.0202305504811477,10788.683090953196,progress,0.7840132429306786
35,0.774417151359753,211,7419,0.0663015517688728,236398.4420746037,plateau,0.4122885844512185
36,0.7546970489536232,211,7631,0.0664040204611648,23725.08348346931,progress,0.82710071171034
37,0.7617451102627165,211,7843,0.0113614030618317,31854.565085865623,plateau,0.7960174024030346
38,0.7650374407240844,211,8055,0.0081297486294376,21973.02495540172,plateau,0.7822872562707933
