N,final_loss,n_iters,source,cum_sensitivity_pct
2,0.8969651818068083,109,gd_selected_params_converged_table.csv,19.64268889357628
3,0.8811611830250468,120,gd_selected_params_converged_table.csv,24.3430115084124
5,0.939786309189892,94,gd_selected_params_converged_table.csv,31.603537381610202
6,0.8070652551192625,310,gd_selected_params_converged_table.csv,35.03282545245523
8,0.9448763500458842,91,gd_selected_params_converged_table.csv,40.79291224317785
10,1.0344787340105606,57,gd_selected_params_converged_table.csv,45.415755245163595
20,0.8163134939795739,50,20P/gd_summary_20params.csv,64.19859094676349
40,2.2902627085286213,65,40P/gd_summary_40params.csv,82.70457524164301
80,0.9965727596313568,69,80P/gd_summary_80params.csv,94.1816959521664
160,0.743822271935671,168,160P/gd_summary_160params.csv,99.70522012229921
210,0.4542313831090354,652,210P/gd_summary_210params.csv,100.0
