N,Method,J_best,iterations,N_eval,wall_clock_s
2,GD,2.3282487,103,412,9876.3387
2,NM,2.3527506,64,353,8447.0765
2,PSO,1.4726811,60,551,12879.3919
3,GD,2.2295141,118,590,14255.522
3,NM,2.3300593,69,412,10191.6917
3,PSO,0.98056988,7,114,2655.8425
5,GD,1.7947343,485,3395,81602.5946
5,NM,2.3636838,93,603,14309.0392
5,PSO,1.0346702,61,1490,35835.3016
8,GD,0.99006321,52,520,12284.9562
8,NM,0.88271842,105,429,10075.346
8,PSO,1.7355394,60,2381,56970.2114
10,GD,0.98450237,74,888,21989.5886
10,NM,0.87605213,91,375,9378.8225
10,PSO,1.6289223,86,4265,101506.8595
20,GD,0.96992111,40,880,20850.5733
20,NM,0.99329672,233,953,22261.2845
20,PSO,8.7606247,61,3040,72790.2136
40,GD,0.96663467,17,714,16982.1769
40,NM,7.7540819,50,241,5652.0517
40,PSO,3.8030066,112,5539,136713.2362
80,GD,0.9901855,10,820,19213.5974
80,NM,7.7540819,50,281,6600.9834
80,PSO,7.6511098,56,2795,63472.0136
120,GD,0.98593935,13,1586,37365.2675
120,NM,7.7540819,50,321,7521.0297
120,PSO,7.5034293,70,3481,83858.6143
160,GD,0.97590465,8,1296,30466.6794
160,NM,7.7540819,50,361,8391.2186
210,GD,0.96946967,12,2544,59668.6151
210,NM,7.7540819,50,411,8445.0391
