N,Method,J_best,iterations,N_eval,wall_clock_s
2,GD,0.896965,109,436,2759.35
2,NM,0.794679,38,163,976.09
2,PSO,0.792692,62,470,2942.33
3,GD,0.87738,120,600,3805.88
3,NM,0.788586,49,218,1300.02
3,PSO,0.802508,63,792,4926.07
5,GD,0.926929,94,658,4043.97
5,NM,0.841387,126,540,3250.93
5,PSO,0.798221,39,943,5743.91
8,GD,0.942143,91,910,5784.49
8,NM,1.230306,224,969,5879.64
8,PSO,0.840258,75,2795,16951.62
10,GD,1.034479,57,684,4353.81
10,NM,0.799162,263,1153,6922.51
10,PSO,0.678421,73,3469,20181.18
20,GD,0.816313,50,1100,6901.86
20,NM,0.62873,434,1957,11550.16
20,PSO,0.727711,95,4395,25724.36
40,GD,2.290263,65,2730,16738.22
40,NM,2.203124,1187,5149,30652.68
40,PSO,0.550146,62,2988,17562.22
80,GD,0.993405,69,5658,35136.44
80,NM,0.937271,2766,11865,72165.18
80,PSO,0.324574,99,4559,27316.18
160,GD,0.740618,168,27216,158551.22
160,NM,1.838264,3560,15841,95487.13
160,PSO,0.924717,88,4106,28839.1
210,GD,0.422552,652,138224,803402.79
210,NM,1.824722,5000,21051,128911.16
210,PSO,1.050197,76,3598,26672.16
