n_params,budget,method,J_best,ratio
2,1000,GPU-PSO,0.7988366626712904,1.0139182474279174
2,1000,GPU-CMAES,0.7878708808109129,1.0
2,1000,GPU-DE,0.7917562097220884,1.0049314284939386
2,2000,GPU-PSO,0.7903757635872397,1.0031793062002097
2,2000,GPU-CMAES,0.7878708808109129,1.0
2,2000,GPU-DE,0.7917562097220884,1.0049314284939386
3,1000,GPU-PSO,0.7900103291855326,1.0241422983462194
3,1000,GPU-CMAES,0.870169991683076,1.128058535833301
3,1000,GPU-DE,0.7713872676299357,1.0
3,2000,GPU-PSO,0.7898343760425908,1.0239141987258011
3,2000,GPU-CMAES,0.870169991683076,1.128058535833301
3,2000,GPU-DE,0.7713872676299357,1.0
5,1000,GPU-PSO,0.768684077556517,1.008928184551994
5,1000,GPU-CMAES,0.76188185574164,1.0
5,1000,GPU-DE,1.0702819531408354,1.4047872974990183
5,2000,GPU-PSO,0.7557482700808255,1.0
5,2000,GPU-CMAES,0.76188185574164,1.0081159109502937
5,2000,GPU-DE,0.7916600681094708,1.047518200769159
8,1000,GPU-PSO,1.594157982203914,2.013657871296388
8,1000,GPU-CMAES,0.7916727091169657,1.0
8,1000,GPU-DE,1.8779037338839846,2.372070822017604
8,2000,GPU-PSO,0.7911256578708042,1.1074920163508934
8,2000,GPU-CMAES,0.714339829263516,1.0
8,2000,GPU-DE,0.9035607489435078,1.264889219288078
10,1000,GPU-PSO,1.2546093918028864,1.531153520149867
10,1000,GPU-CMAES,0.8193883730744956,1.0
10,1000,GPU-DE,1.4952044519608307,1.8247811429768634
10,2000,GPU-PSO,1.085981280062359,1.5664602338668503
10,2000,GPU-CMAES,0.6932708897318026,1.0
10,2000,GPU-DE,1.4952044519608307,2.1567391247875163
20,1000,GPU-PSO,0.6762826693874738,1.0
20,1000,GPU-CMAES,0.7478301492245416,1.1057952289415758
20,1000,GPU-DE,1.1528272361895038,1.7046529334156209
20,2000,GPU-PSO,0.6678626461166989,1.0
20,2000,GPU-CMAES,0.7058910231209556,1.0569404161549887
20,2000,GPU-DE,0.9618566722162843,1.4402013315297986
40,1000,GPU-PSO,1.3393461114466358,1.2585021316038305
40,1000,GPU-CMAES,1.0642382542012687,1.0
40,1000,GPU-DE,1.3434499276136411,1.2623582382141734
40,2000,GPU-PSO,1.1839185882673502,1.9907008028886668
40,2000,GPU-CMAES,0.9987808329303917,1.679400784587862
40,2000,GPU-DE,0.5947245244234539,1.0
80,1000,GPU-PSO,1.023496438728143,1.0
80,1000,GPU-CMAES,1.5525730159011937,1.5169305501741777
80,1000,GPU-DE,7.993826307081504,7.810311794553093
80,2000,GPU-PSO,0.6712381577547217,1.0
80,2000,GPU-CMAES,0.9618163951032268,1.4328988660604212
80,2000,GPU-DE,6.769332898641888,10.084845178178147
120,1000,GPU-PSO,8.49547669133147,4.827636687838763
120,1000,GPU-CMAES,1.7597589132447178,1.0
120,1000,GPU-DE,11.259013544549214,6.39804319774086
120,2000,GPU-PSO,3.5215018041069466,2.254415611915445
120,2000,GPU-CMAES,1.5620464059486054,1.0
120,2000,GPU-DE,7.838346790727349,5.017998672047933
160,1000,GPU-PSO,5.674633261525997,4.842188854097641
160,1000,GPU-CMAES,1.1719148989250825,1.0
160,1000,GPU-DE,1.3053832071461249,1.1138890787577356
160,2000,GPU-PSO,2.619711012820314,2.2354106217296117
160,2000,GPU-CMAES,1.1719148989250825,1.0
160,2000,GPU-DE,1.3053832071461249,1.1138890787577356
210,1000,GPU-PSO,13.252404464857053,8.260836631312717
210,1000,GPU-CMAES,1.604244830919884,1.0
210,1000,GPU-DE,19.78105712966454,12.33044778976907
210,2000,GPU-PSO,3.038263567358153,1.8938902022928719
210,2000,GPU-CMAES,1.604244830919884,1.0
210,2000,GPU-DE,9.170666182491578,5.716500378083226
