collection,path,method,n_params,seed,loss,iterations,evaluations,time_seconds,stop_reason
seed42_table,seed42_table/10P/GD/result.json,GD,10,42,0.984502373191116,74,888,21989.588644742966,loss_threshold
seed42_table,seed42_table/10P/GPU-CMAES/result.json,GPU-CMAES,10,42,0.9969119314876947,8,450,2012.607177734375,loss_threshold
seed42_table,seed42_table/10P/GPU-DE/result.json,GPU-DE,10,42,0.8555483822460414,98,4950,23492.957795143127,loss_threshold
seed42_table,seed42_table/10P/GPU-PSO/result.json,GPU-PSO,10,42,0.9712969049317544,48,1576,7100.749603509903,loss_threshold
seed42_table,seed42_table/10P/NM/result.json,NM,10,42,0.876052129152027,91,375,9378.822511434555,loss_threshold
seed42_table,seed42_table/10P/PSO/result.json,PSO,10,42,1.6289223038164655,86,4265,101506.85951209068,stagnation
seed42_table,seed42_table/120P/GD/result.json,GD,120,42,0.9859393491975454,13,1586,37365.267457962036,loss_threshold
seed42_table,seed42_table/120P/GPU-CMAES/result.json,GPU-CMAES,120,42,4.098980759297601,52,2650,13694.41874408722,stagnation
seed42_table,seed42_table/120P/GPU-DE/result.json,GPU-DE,120,42,3.636151056278026,117,5900,35298.512731313705,stagnation
seed42_table,seed42_table/120P/GPU-PSO/result.json,GPU-PSO,120,42,1.3271984568455761,168,4685,27356.466116905212,stagnation
seed42_table,seed42_table/120P/NM/result.json,NM,120,42,7.754081872951901,50,321,7521.029735326767,stagnation
seed42_table,seed42_table/120P/PSO/result.json,PSO,120,42,7.503429324092708,70,3481,83858.61427664757,stagnation
seed42_table,seed42_table/160P/GD/result.json,GD,160,42,0.9759046466229162,8,1296,30466.679410219193,loss_threshold
seed42_table,seed42_table/160P/GPU-CMAES/result.json,GPU-CMAES,160,42,1.6270578513492135,55,2800,13220.686472892761,stagnation
seed42_table,seed42_table/160P/GPU-DE/result.json,GPU-DE,160,42,3.645834263154236,70,3550,19911.79535508156,stagnation
seed42_table,seed42_table/160P/GPU-PSO/result.json,GPU-PSO,160,42,2.9698581226489162,146,4633,29594.893159866333,stagnation
seed42_table,seed42_table/160P/NM/result.json,NM,160,42,7.754081872951901,50,361,8391.218554496765,stagnation
seed42_table,seed42_table/160P/PSO/result.json,PSO,160,42,1.5148729424816276,105,5196,136521.9001133442,stagnation
seed42_table,seed42_table/20P/GD/result.json,GD,20,42,0.969921114647138,40,880,20850.57329773903,loss_threshold
seed42_table,seed42_table/20P/GPU-CMAES/result.json,GPU-CMAES,20,42,0.9707965115181848,50,2550,11026.892901182175,loss_threshold
seed42_table,seed42_table/20P/GPU-DE/result.json,GPU-DE,20,42,2.6430060471699828,255,12800,62921.59223818779,stagnation
seed42_table,seed42_table/20P/GPU-PSO/result.json,GPU-PSO,20,42,0.913570993843279,97,3465,16394.45687031746,loss_threshold
seed42_table,seed42_table/20P/NM/result.json,NM,20,42,0.9932967240103546,233,953,22261.284549236298,loss_threshold
seed42_table,seed42_table/20P/PSO/result.json,PSO,20,42,8.760624739141793,61,3040,72790.21356129646,stagnation
seed42_table,seed42_table/210P/GD/result.json,GD,210,42,0.9694696719331968,12,2544,59668.61513400078,loss_threshold
seed42_table,seed42_table/210P/GPU-CMAES/result.json,GPU-CMAES,210,42,0.9191028337085517,191,9600,60536.904344558716,loss_threshold
seed42_table,seed42_table/210P/GPU-DE/result.json,GPU-DE,210,42,1.250257236892257,103,5200,26656.377045869827,stagnation
seed42_table,seed42_table/210P/GPU-PSO/result.json,GPU-PSO,210,42,0.9227266008500312,236,6571,36016.97320365906,loss_threshold
seed42_table,seed42_table/210P/NM/result.json,NM,210,42,7.754081872951901,50,411,8445.039086341858,stagnation
seed42_table,seed42_table/2P/GD/result.json,GD,2,42,2.3282486896464225,103,412,9876.338660240173,stagnation
seed42_table,seed42_table/2P/GPU-CMAES/result.json,GPU-CMAES,2,42,2.2909657786013624,60,610,3263.810451745987,stagnation
seed42_table,seed42_table/2P/GPU-DE/result.json,GPU-DE,2,42,1.1440481762578483,107,1080,5653.513517141342,stagnation
seed42_table,seed42_table/2P/GPU-PSO/result.json,GPU-PSO,2,42,1.1020490961403087,291,2920,15309.106984376907,stagnation
seed42_table,seed42_table/2P/NM/result.json,NM,2,42,2.3527505662709394,64,353,8447.076451778412,stagnation
seed42_table,seed42_table/2P/PSO/result.json,PSO,2,42,1.4726810503158294,60,551,12879.391856908798,stagnation
seed42_table,seed42_table/3P/GD/result.json,GD,3,42,2.2295141294445537,118,590,14255.521979570389,stagnation
seed42_table,seed42_table/3P/GPU-CMAES/result.json,GPU-CMAES,3,42,1.7918068363236868,127,1920,8094.593055963516,stagnation
seed42_table,seed42_table/3P/GPU-DE/result.json,GPU-DE,3,42,0.771240688937894,34,525,2420.101258993149,loss_threshold
seed42_table,seed42_table/3P/GPU-PSO/result.json,GPU-PSO,3,42,0.8148500243212816,119,1216,6302.902188062668,loss_threshold
