Case,Method,Loss_MSE,Iterations,Evaluations,Time_s
2 Params,GD,0.896965,109,436,2759.35
2 Params,NM,0.794679,38,163,976.09
2 Params,PSO,0.792692,62,470,2942.33
3 Params,GD,0.877380,120,600,3805.88
3 Params,NM,0.788586,49,218,1300.02
3 Params,PSO,0.802508,63,792,4926.07
5 Params,GD,0.926929,94,658,4043.97
5 Params,NM,0.841387,126,540,3250.93
5 Params,PSO,0.798221,39,943,5743.91
8 Params,GD,0.942143,91,910,5784.49
8 Params,NM,1.230306,224,969,5879.64
8 Params,PSO,0.840258,75,2795,16951.62
10 Params,GD,1.034479,57,684,4353.81
10 Params,NM,0.799162,263,1153,6922.51
10 Params,PSO,0.678421,73,3469,20181.18
20 Params,GD,0.816313,50,1100,6901.86
20 Params,NM,0.628730,434,1957,11550.16
20 Params,PSO,0.727711,95,4395,25724.36
40 Params,GD,2.290263,65,2730,16738.22
40 Params,NM,2.203124,1187,5149,30652.68
40 Params,PSO,0.550146,62,2988,17562.22
80 Params,GD,0.993405,69,5658,35136.44
80 Params,NM,0.937271,2766,11865,72165.18
80 Params,PSO,0.324574,99,4559,27316.18
160 Params,GD,0.740618,168,27216,158551.22
160 Params,NM,1.838264,3560,15841,95487.13
160 Params,PSO,0.924717,88,4106,28839.10
210 Params,GD,0.422552,652,138224,803402.79
210 Params,NM,1.824722,5000,21051,128911.16
210 Params,PSO,1.050197,76,3598,26672.16

