dimension,method,n_seeds,loss_median,loss_iqr,iterations_median,iterations_iqr,evaluations_median,evaluations_iqr,time_seconds_median,time_seconds_iqr
2,GPU-PSO,3,1.1010277480911868,0.001769808777381865,291.0,101.0,2920.0,1010.0,15309.106984376907,4845.59408557415
2,GPU-CMAES,3,2.2944649612387398,0.0022704103781285845,73.0,16.0,740.0,160.0,3854.327484846115,701.5137243270874
2,GPU-DE,3,1.1440481762578483,0.393220516379879,107.0,24.5,1080.0,245.0,5653.513517141342,1221.8197619915009
3,GPU-PSO,3,0.9385293890178789,0.09115413122663174,112.0,46.0,1145.0,461.0,5464.513899564743,2456.7226238250732
3,GPU-CMAES,3,1.7510659777994575,0.09193447296609647,127.0,38.0,1920.0,570.0,7956.146082639694,2378.1264234781265
3,GPU-DE,3,0.9083465584096928,0.10544194743148239,34.0,5.0,525.0,75.0,2420.101258993149,353.8688440322876
5,GPU-PSO,3,0.9942677665453595,0.04601597320139217,61.0,44.5,1100.0,464.0,5490.145876169205,2085.4700639247894
5,GPU-CMAES,3,1.0219206924932827,0.20675266519570135,64.0,46.5,1625.0,1162.5,7420.513239860535,4988.140241026878
5,GPU-DE,3,0.9562149505394042,0.1251514042613312,45.0,16.0,1150.0,400.0,5362.106331825256,1765.4329179525375
8,GPU-PSO,3,0.9580445524079942,0.0824808203173244,70.0,25.5,2130.0,515.0,9319.882887125015,2543.813800573349
8,GPU-CMAES,3,0.8950630112090692,0.06553336982116498,16.0,6.0,680.0,240.0,2811.4074449539185,1027.317500948906
8,GPU-DE,3,0.9749226936440335,0.2362607506150316,74.0,4.0,3000.0,160.0,13583.191353321075,3535.0186433792114
10,GPU-PSO,3,0.9813022315037715,0.10712524040482307,120.0,124.0,3785.0,2288.5,16700.737463712692,11175.183961987495
10,GPU-CMAES,3,0.9932041903434609,0.03788101847891079,19.0,11.0,1000.0,550.0,4357.286437034607,2410.6121265888214
10,GPU-DE,3,0.8555483822460414,0.056149437208831476,98.0,20.5,4950.0,1025.0,23492.957795143127,7865.786486387253
20,GPU-PSO,3,1.2023187815109544,0.7092140816514516,198.0,70.5,4658.0,1763.0,22299.444549798965,8017.711559057236
20,GPU-CMAES,3,0.9057854305498652,0.15787503816118864,36.0,13.0,1850.0,650.0,8412.390938043594,2660.755647301674
20,GPU-DE,3,3.9466711594516957,1.4552977996316407,109.0,90.5,5500.0,4525.0,30026.18595314026,21165.806424975395
40,GPU-PSO,3,3.4583864099432473,1.3110726814841591,159.0,70.5,4881.0,1193.5,23936.556576251984,6533.243919372559
40,GPU-CMAES,3,0.9106652241804088,0.02610997278943128,68.0,6.5,3450.0,325.0,14219.500272512436,1265.964136481285
40,GPU-DE,3,1.7109320061106028,1.1377962304001608,106.0,13.0,5350.0,650.0,28243.92515730858,3028.4557651281357
80,GPU-PSO,3,1.6514269471407523,1.4263597098305634,89.0,60.5,2883.0,1502.0,16285.308578014374,8409.283062338829
80,GPU-CMAES,3,1.9224647041975038,0.6519857058259315,68.0,34.5,3450.0,1725.0,16190.656534194946,4936.214275240898
80,GPU-DE,3,2.876317046150723,2.8101718167802936,81.0,33.0,4100.0,1650.0,24088.280868053436,8686.645454645157
120,GPU-PSO,3,0.9891318393228242,0.17304314053773884,67.0,58.5,2175.0,1408.5,12378.679385185242,7901.218734383583
120,GPU-CMAES,3,2.0048186950096905,1.4710679710208794,124.0,65.0,6250.0,3250.0,37146.541182518005,20387.772665143013
120,GPU-DE,2,2.2779234290088954,1.3582276272691307,74.0,43.0,3750.0,2150.0,22677.719321012497,12620.793410301208
160,GPU-PSO,1,2.9698581226489162,0.0,146.0,0.0,4633.0,0.0,29594.893159866333,0.0
160,GPU-CMAES,1,1.6270578513492135,0.0,55.0,0.0,2800.0,0.0,13220.686472892761,0.0
160,GPU-DE,1,3.645834263154236,0.0,70.0,0.0,3550.0,0.0,19911.79535508156,0.0
210,GPU-PSO,1,0.9227266008500312,0.0,236.0,0.0,6571.0,0.0,36016.97320365906,0.0
210,GPU-CMAES,1,0.9191028337085517,0.0,191.0,0.0,9600.0,0.0,60536.904344558716,0.0
210,GPU-DE,1,1.250257236892257,0.0,103.0,0.0,5200.0,0.0,26656.377045869827,0.0
