case,method,loss,iterations,evaluations,time_s,converged,reason
2,GD,2.3282487,103,412,9876.3387,True,stagnation
2,NM,2.3527506,64,353,8447.0765,True,stagnation
2,PSO,1.4726811,60,551,12879.3919,True,stagnation
2,GPU-PSO,1.1020491,291,2920,15309.1070,True,stagnation
2,GPU-CMAES,2.2909658,60,610,3263.8105,True,stagnation
2,GPU-DE,1.1440482,107,1080,5653.5135,True,stagnation
3,GD,2.2295141,118,590,14255.5220,True,stagnation
3,NM,2.3300593,69,412,10191.6917,True,stagnation
3,PSO,0.98056988,7,114,2655.8425,True,loss_threshold
3,GPU-PSO,0.81485002,119,1216,6302.9022,True,loss_threshold
3,GPU-CMAES,1.7918068,127,1920,8094.5931,True,stagnation
3,GPU-DE,0.77124069,34,525,2420.1013,True,loss_threshold
5,GD,1.7947343,485,3395,81602.5946,True,stagnation
5,NM,2.3636838,93,603,14309.0392,True,stagnation
5,PSO,1.0346702,61,1490,35835.3016,True,stagnation
5,GPU-PSO,0.99426777,59,947,4185.5491,True,loss_threshold
5,GPU-CMAES,1.0219207,64,1625,7420.5132,True,stagnation
5,GPU-DE,0.95621495,30,775,3668.1950,True,loss_threshold
8,GD,0.99006321,52,520,12284.9562,True,loss_threshold
8,NM,0.88271842,105,429,10075.3460,True,loss_threshold
8,PSO,1.7355394,60,2381,56970.2114,True,stagnation
8,GPU-PSO,0.80317735,96,2440,11405.0869,True,loss_threshold
8,GPU-CMAES,0.89506301,23,960,4079.5138,True,loss_threshold
8,GPU-DE,1.2524918,70,2840,7431.8231,True,stagnation
10,GD,0.98450237,74,888,21989.5886,True,loss_threshold
10,NM,0.87605213,91,375,9378.8225,True,loss_threshold
10,PSO,1.6289223,86,4265,101506.8595,True,stagnation
10,GPU-PSO,0.9712969,48,1576,7100.7496,True,loss_threshold
10,GPU-CMAES,0.99691193,8,450,2012.6072,True,loss_threshold
10,GPU-DE,0.85554838,98,4950,23492.9578,True,loss_threshold
20,GD,0.96992111,40,880,20850.5733,True,loss_threshold
20,NM,0.99329672,233,953,22261.2845,True,loss_threshold
20,PSO,8.7606247,61,3040,72790.2136,True,stagnation
20,GPU-PSO,0.91357099,97,3465,16394.4569,True,loss_threshold
20,GPU-CMAES,0.97079651,50,2550,11026.8929,True,loss_threshold
20,GPU-DE,2.643006,255,12800,62921.5922,True,stagnation
40,GD,0.96663467,17,714,16982.1769,True,loss_threshold
40,NM,7.7540819,50,241,5652.0517,True,stagnation
40,PSO,3.8030066,112,5539,136713.2362,True,stagnation
40,GPU-PSO,0.9771275,240,5359,26173.8392,True,loss_threshold
40,GPU-CMAES,0.91066522,64,3250,13690.2026,True,loss_threshold
40,GPU-DE,3.2126347,106,5350,28745.3888,True,stagnation
80,GD,0.9901855,10,820,19213.5974,True,loss_threshold
80,NM,7.7540819,50,281,6600.9834,True,stagnation
80,PSO,7.6511098,56,2795,63472.0136,True,stagnation
80,GPU-PSO,1.6514269,73,2453,13980.2969,True,stagnation
80,GPU-CMAES,1.9224647,52,2650,15971.6167,True,stagnation
80,GPU-DE,2.876317,68,3450,20028.6073,True,stagnation
120,GD,0.98593935,13,1586,37365.2675,True,loss_threshold
120,NM,7.7540819,50,321,7521.0297,True,stagnation
120,PSO,7.5034293,70,3481,83858.6143,True,stagnation
120,GPU-PSO,1.3271985,168,4685,27356.4661,True,stagnation
120,GPU-CMAES,4.0989808,52,2650,13694.4187,True,stagnation
120,GPU-DE,3.6361511,117,5900,35298.5127,True,stagnation
160,GD,0.97590465,8,1296,30466.6794,True,loss_threshold
160,NM,7.7540819,50,361,8391.2186,True,stagnation
160,PSO,1.5148729,105,5196,136521.9001,True,stagnation
160,GPU-PSO,2.9698581,146,4633,29594.8932,True,stagnation
160,GPU-CMAES,1.6270579,55,2800,13220.6865,True,stagnation
160,GPU-DE,3.6458343,70,3550,19911.7954,True,stagnation
210,GD,0.96946967,12,2544,59668.6151,True,loss_threshold
210,NM,7.7540819,50,411,8445.0391,True,stagnation
210,GPU-PSO,0.9227266,236,6571,36016.9732,True,loss_threshold
210,GPU-CMAES,0.91910283,191,9600,60536.9043,True,loss_threshold
210,GPU-DE,1.2502572,103,5200,26656.3770,True,stagnation
